"symbol"	"wt_DMSO_1"	"wt_DMSO_2"	"wt_DMSO_3"	"wt_CPT_1"	"wt_CPT_2"	"wt_CPT_3"	"miR34a_del_DMSO_1"	"miR34a_del_DMSO_2"	"miR34a_del_DMSO_3"	"miR34a_del_CPT_1"	"miR34a_del_CPT_2"	"miR34a_del_CPT_3"
"LL0000017605"	"LOC110439368"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017606"	"LOC110439369"	2.61	0	2.76	227.69	8.06	0	0	0	0	0	0	2.71
"LL0000017607"	"LOC110439370"	46.98	35.02	85.95	297.34	274.49	37.31	19.87	76.82	39.84	10.73	1.41	20.76
"LL0000017608"	"LOC110439372"	1.87	0	0	0	0	0	0	0	213.72	0	101.6	0
"LL0000017609"	"LOC110439374"	0	0	0.19	0	1.54	2.44	0	0.74	4.89	3.88	0	0
"LL0000017610"	"LOC110439375"	115.42	105.33	121.98	40.09	57.49	47.41	97.65	120.29	90.01	77.69	59.72	82.39
"LL0000017611"	"LOC110439376"	13.02	16.68	8.6	0	8.46	6.26	7.69	5.23	7.5	9.39	0	8.52
"LL0000017612"	"LOC110439377"	2	2.78	5.01	3.9	1.51	2.79	0	1	4.79	3.71	3.46	0
"LL0000017613"	"LOC110439378"	1.58	0	0	0	0	0	1.53	2.34	2.11	0.28	0.93	0
"LL0000017614"	"LOC110439379"	7	5	4	1	2	7	6	5	10	5	2.25	2
"LL0000017615"	"LOC110439380"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017616"	"LOC110439381"	0	2	0	0	1	0	0	0	0	3	0	1
"LL0000017617"	"LOC110439382"	32.14	33	42.64	24.04	33.27	42.28	48.44	53	60.84	43.01	20.05	21.17
"LL0000017618"	"LOC110439384"	9.42	11.42	0	6.2	8.65	16.12	3.37	8.78	14.25	13.73	3.36	7.11
"LL0000017619"	"LOC110439385"	0	0	0	1.48	0	1.22	0	0	1.17	2.82	0	0
"LL0000017620"	"LOC110439386"	0	0	0	2.75	0	0	0	0	0	1	0	0
"LL0000017621"	"LOC110439387"	54.82	63.86	6.62	39.36	35.74	63.18	0	44.89	13.19	73.04	26.31	47.65
"LL0000017622"	"LOC110439389"	0	0	2.68	0.69	0	4.23	0	0	0	1.78	0	0
"LL0000017623"	"LOC110439391"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017624"	"LOC110439392"	2	2.79	4.86	2	10.7	11.24	4	5.52	5.11	14.74	8.46	10.83
"LL0000017625"	"LOC110439393"	0	0	0	0	1.02	3.44	3.04	1	0	3	1.02	3
"LL0000017626"	"LOC110439394"	6.96	1.67	2.24	8.62	4.02	1.59	11.21	11.54	7.52	5.41	0	10.29
"LL0000017627"	"LOC110439397"	0	0	6	0	0	0	0	0	0	0	0	0
"LL0000017628"	"LOC110439398"	5	7.05	2	5	5	5	1	4	6	8	4	9
"LL0000017629"	"LOC110439399"	0	0	0	0	0	0	0	1.59	0	0	0	0
"LL0000017630"	"LOC110439400"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017631"	"LOC110439401"	1.35	0	0	3.91	0	0	0	0	0	0	0	0
"LL0000017632"	"LOC110439404"	0	0	2.5	0	0	0.29	0	0	1.85	1.26	1.33	0
"LL0000017633"	"LOC110439405"	72	39.23	45.1	7.01	32	42.86	19	59	31	38	21.98	14
"LL0000017634"	"LOC110439406"	0	5.74	0	0	1.74	1.91	0	1.72	3.63	0	3.17	0
"LL0000017635"	"LOC110439407"	2.1	0	0	0.1	0	3.28	0	0	0.14	4.27	0.55	0
"LL0000017636"	"LOC110439408"	0	3.04	0	0	4.55	0	0	4.11	3.36	6.97	4.39	0
"LL0000017637"	"LOC110439409"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017638"	"LOC110439412"	0	0	0	3.4	0	0	0	2.23	0	0	0	0
"LL0000017639"	"LOC110439414"	17.32	15.93	19.5	12.48	9.91	10.69	4	18.08	11.68	10.83	9	6.06
"LL0000017640"	"LOC110439415"	0	0	0	1	0	0	0	0	2	0	0	0
"LL0000017641"	"LOC110439416"	4.51	3	0	5.47	4	2.62	0	0	2	0	3.85	1
"LL0000017642"	"LOC110439417"	0	1	0	0	0	0	0	0	1	0	0	0
"LL0000017643"	"LOC110439419"	1	0	3	1	0	0	0	0	1.07	0	1	0
"LL0000017644"	"LOC110439420"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017645"	"LOC110439422"	1.45	0	1.73	0	0	1.07	0	0	0	5.73	2.67	1.03
"LL0000017646"	"LOC110439424"	6.56	3.1	36.91	9.53	12.75	9.08	12.32	12.47	12.13	62.2	22.07	18.37
"LL0000017647"	"LOC110439425"	0	0	0	0	0	3.47	0	0	0	2.1	0	0
"LL0000017648"	"LOC110439426"	116.04	82.5	104.39	37.13	41.22	93.74	74.91	118.01	69.47	43.86	76.48	35.33
"LL0000017649"	"LOC110439427"	0	0	0	1.29	0	1.39	4.41	0	0	0	0	4.55
"LL0000017650"	"LOC110439428"	0	5.67	0	4.65	9.67	0	0	0	2.76	17.93	0	5.4
"LL0000017651"	"LOC110439429"	0	0	0	0	0	0	0	0	0	7.09	0	0
"LL0000017652"	"LOC110439430"	69.85	54.07	68.18	44.83	29.84	87.81	39.72	87.7	41.6	101.85	42.01	51.82
"LL0000017653"	"LOC110439431"	1.88	0	0	1	0	0	0	3	0	2	0	0
"LL0000017654"	"LOC110439434"	1	0	0	0	0	0	1	1	0	0	0	0
"LL0000017655"	"LOC110439435"	39	31.51	56.17	27.53	50.29	96.6	37.34	59.24	62.14	117.5	60.21	56.88
"LL0000017656"	"LOC110439436"	2	0	0	0	0	0	0	0	0	0	0	0
"LL0000017657"	"LOC110439437"	0	0	0	0	0	0	0	0	0	0	1.32	0
"LL0000017658"	"LOC110439438"	17.23	12.92	17.32	9	21.93	26.04	14.63	8.44	10.44	32.19	22.36	17.58
"LL0000017659"	"LOC110439439"	0	1	0	0	0	0	1	1	0	1	0	0
"LL0000017660"	"LOC110439440"	1.09	0	1	0	0	0	0	0	0	0	1.2	0
"LL0000017661"	"LOC110439441"	71.04	1028.87	301.96	64	25.92	54.26	139.51	1756.37	12.86	48.73	83.55	391.75
"LL0000017662"	"LOC110439442"	1	2	1	0	1	3	0	0	0	0	2.47	1
"LL0000017663"	"LOC110439443"	0	2.14	3.21	3	4.76	3.38	1.18	3	2.57	4.23	0	1.84
"LL0000017664"	"LOC110439444"	0	0	0	0	0	1	1	0	0	0.78	0	0
"LL0000017665"	"LOC110439446"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017666"	"LOC110439447"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017667"	"LOC110439448"	70.3	60.58	99.97	12.13	15.78	22.2	46.38	69.66	60.01	19.07	33.14	24.21
"LL0000017668"	"LOC110439449"	60.9	71.65	117.97	18.84	70.64	83.41	55.22	69.6	43.67	81.95	66.33	38.87
"LL0000017669"	"LOC110439451"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017670"	"LOC110439452"	0	0	0	0	0	0	0	1	0	0	0	0
"LL0000017671"	"LOC110439453"	11.72	1.45	0	5.84	8.95	0.91	0	6.63	0	0	0	0
"LL0000017672"	"LOC110439455"	9.73	14.27	2.62	0	6.67	11.95	0	0	8.06	9.94	18.32	3.18
"LL0000017673"	"LOC110439456"	0	0	1	0	0	0	0	0	0	0	0	1
"LL0000017674"	"LOC110439457"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017675"	"LOC110439458"	66.58	44.19	33.75	13.62	38.13	53.5	25.5	27.56	32.05	60.37	33.01	60.08
"LL0000017676"	"LOC110439459"	0	7.66	0	0	5.72	0	0	18	5.16	6.7	0	0
"LL0000017677"	"LOC110439460"	4	0	0	0	0	0	0	9	0	1.53	3	2.4
"LL0000017678"	"LOC110439462"	0	0	0	0	2.3	1.07	0	0	0	0	0	0
"LL0000017679"	"LOC110439463"	25.7	17.69	15.06	10.51	40.67	55.29	22.15	24.6	22.4	45.68	24.72	33.89
"LL0000017680"	"LOC110439464"	0	2.92	1.57	0	0	0	0	0	0	3.23	2.09	0
"LL0000017681"	"LOC110439466"	1	0	0	0	1.35	0	0	0	3	0	0	0
"LL0000017682"	"LOC110439467"	2.08	0	0	4.26	2.99	7.3	0	0	0	6.77	7.2	1.33
"LL0000017683"	"LOC110439469"	4.62	3.68	6.32	2.76	7.62	7.63	2.03	1.37	4.45	8.66	2.2	13.32
"LL0000017684"	"LOC110439471"	0	0	0	0	0	4.63	7.03	0	0	0	0.66	0
"LL0000017685"	"LOC110439473"	5.58	11.75	8.69	18.26	60.84	83.48	5.03	23.07	5.58	94.75	47.79	40.9
"LL0000017686"	"LOC110439474"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017687"	"LOC110439475"	0	0	0	0	0	0	0	0	0.58	0	0	0
"LL0000017688"	"LOC110439476"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017689"	"LOC110439477"	0	0	0	0	0	0	1	0	0	0	0	0
"LL0000017690"	"LOC110439480"	4	1	1	0	2.76	5.45	0	0	0	5.61	5	4.01
"LL0000017691"	"LOC110439481"	7.42	3.37	12.03	12.35	29.21	42.92	13	6.35	8.76	32.31	31.87	27.19
"LL0000017692"	"LOC110439483"	0	19.17	0	0	0	0	4.02	0	6.78	0	0	0
"LL0000017693"	"LOC110439484"	104	139.4	107.79	53.62	109.37	180.91	53.39	121.39	93.46	150.8	102.66	109.03
"LL0000017694"	"LOC110439485"	16.94	20.4	21.77	10.3	19.22	48.46	9.81	2.65	0	23.17	39.75	22.98
"LL0000017695"	"LOC110439487"	0	0	4	0	0	1.67	0	0	0	2.25	0	4.04
"LL0000017696"	"LOC110439488"	48.1	42.12	33.92	45.77	81	97.59	0	39.86	48.2	111.73	76.68	43.41
"LL0000017697"	"LOC110439489"	87.78	84.63	100.43	40.14	91.25	159.04	72.7	64.21	114.7	111.89	67.5	79.01
"LL0000017698"	"LOC110439492"	45.81	38.15	59.67	21.45	44.89	82.66	24.64	28.01	16.53	43.81	39.39	32
"LL0000017699"	"LOC110439493"	4.82	16.18	9.7	15.19	10.66	17.71	8.57	11.44	18.34	19.44	17.12	9.76
"LL0000017700"	"LOC110439495"	122.01	84.24	93.52	31.1	196.32	302.86	78.96	159.66	109.42	175.14	181.49	106.08
"LL0000017701"	"LOC110439496"	19.77	36.31	33.69	26.32	16.21	44.37	18.63	51.15	45.46	23.87	31	15.54
"LL0000017702"	"LOC110439498"	3.77	0	0	0	2.58	2.56	0	1.51	1.94	7.7	0	7.24
"LL0000017704"	"LOC110439501"	0	0	0	0	0	0	0	0	1.23	0	0	0
"LL0000017706"	"LOC110439504"	0	0	0	0	0	0.5	0	0	0	0	0	0
"LL0000017707"	"LOC110439505"	2.06	4.5	5.44	5.91	0	3.94	1.95	2.51	0	3.82	1.39	1.56
"LL0000017708"	"LOC110439506"	1	0	0	0	0	0	0	0	0	0	0	0
"LL0000017709"	"LOC110439507"	0	0	0	0	3	0	1	0	0	3.77	0	1
"LL0000017710"	"LOC110439510"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017711"	"LOC110439511"	0	0	0	0	0	1	0	0	2	0	0	0
"LL0000017712"	"LOC110439512"	60.28	35.2	26.2	12.82	17.14	6.64	20.26	37.84	50.41	23.44	15.48	8.33
"LL0000017713"	"LOC110439513"	0	44.96	30.18	16.08	9.19	32.86	25.19	14.36	8.05	47.01	33.82	19.03
"LL0000017714"	"LOC110439514"	7.01	3.51	9.13	0	4	8.01	3.82	7.13	4.53	12	1.08	3.05
"LL0000017715"	"LOC110439515"	1	3	9.93	2	4	8	2	3	2	1	0	3
"LL0000017716"	"LOC110439516"	0	0	0	0	0	1	0	0	0	0	0	0
"LL0000017717"	"LOC110439517"	2	0	0	0	0	0	0	0	0	0	0	0
"LL0000017718"	"LOC110439518"	10.75	6.29	7.82	5.85	27.35	16.56	5.16	8.44	6.45	26.61	12.76	11.15
"LL0000017719"	"LOC110439519"	58.66	52.39	62.25	28.99	73.33	127.13	32.78	51.64	47.36	111.46	61.44	66.85
"LL0000017720"	"LOC110439522"	0	0	0	2.18	3.32	0	0	0	0	0	0	0
"LL0000017721"	"LOC110439524"	0	3.74	0	0	0	4	1	2	4	0	3.49	3
"LL0000017722"	"LOC110439526"	0	0	0	1.07	0	0	0	0	0	0	0	0
"LL0000017723"	"LOC110439528"	21.46	31.66	28.94	11.32	22.74	35.87	12.89	25.53	8.67	29.93	21	9.6
"LL0000017724"	"LOC110439529"	0	1.13	0	0	0	4.45	0	0	0	4.25	1.92	5.21
"LL0000017725"	"LOC110439530"	0	6.06	0	0	14.44	0	4	0	4.64	0	1.75	1.57
"LL0000017726"	"LOC110439531"	1	2	2.48	0	5	1.41	3	0	1	5	0	1.67
"LL0000017727"	"LOC110439533"	152.69	201.03	211.13	114.94	123.25	173.97	110.98	180.82	161.7	107.96	122.66	65.21
"LL0000017728"	"LOC110439534"	0	0	0	0	1.04	5.96	2	0	0	1.11	0	0
"LL0000017729"	"LOC110439536"	0	0	0	1.95	0	0	0	0	0	0	8.3	0
"LL0000017730"	"LOC110439537"	10	12.61	8.21	15.04	21	49	17.16	24.25	16.37	53.62	16.01	22.89
"LL0000017731"	"LOC110439538"	0.02	0	14.37	0	5.88	4.08	12.79	8.95	0	22	4.27	0
"LL0000017732"	"LOC110439540"	0	0	1	0	1	0	0	6.67	0	1.15	0	0
"LL0000017733"	"LOC110439541"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017734"	"LOC110439542"	0	0	0	0	0	0	0	0	1	0	2	0
"LL0000017735"	"LOC110439545"	2.21	3.86	0	3.42	5.93	1.47	3.71	6.54	0	2.22	2.9	5
"LL0000017736"	"LOC110439546"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017737"	"LOC110439547"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017738"	"LOC110439548"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017739"	"LOC110439549"	6.51	1.14	1.11	0	0	2.15	1.05	3	0	4.32	4.32	2.17
"LL0000017740"	"LOC110439551"	1	0	0	0	1	2.38	0	2	0	2.38	0	0
"LL0000017741"	"LOC110439553"	1.71	6.8	3.32	2.44	18.75	10.77	2	2.82	0	3.08	2.13	6.81
"LL0000017742"	"LOC110439554"	31.63	82.34	74.39	61.39	83.19	111.4	21.64	35.22	31.53	121.64	121.89	48.73
"LL0000017743"	"LOC110439557"	0	22.98	23.24	20.27	0	0	27.57	9.64	22.32	7.39	1.94	14.31
"LL0000017744"	"LOC110439561"	0.2	0	0	0	2.88	0	0	0	15.84	0	0	0
"LL0000017745"	"LOC110439562"	12.52	4.61	24.21	23.42	8.89	58.25	16.51	0	25.97	35.81	17.01	28.27
"LL0000017746"	"LOC110439563"	63.13	58.01	35.44	5.82	11.51	16.76	51.09	48.88	70.36	33.33	26.53	23.75
"LL0000017747"	"LOC110439565"	0	0	0	1.9	0	0	0	0	0	0	0	0
"LL0000017748"	"LOC110439566"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017749"	"LOC110439567"	0	0	0	0	0	0	0	0	2.18	1.15	2	0
"LL0000017750"	"LOC110439568"	2.02	0	2.01	0	0	2.11	0	0	4.89	0	0	0
"LL0000017752"	"LOC110439571"	0	0	0	0	0	0	0	0	2	0	0	0
"LL0000017753"	"LOC110439572"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017754"	"LOC110439573"	0	1	0	0	0	0.91	0	0	0	0	2	0
"LL0000017755"	"LOC110439574"	0	0	0	0	1	0	0	0	0	0	0	0
"LL0000017756"	"LOC110439575"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017757"	"LOC110439576"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017758"	"LOC110439578"	1	0	0	0	0	0	0	0	0	4.64	0	1.91
"LL0000017759"	"LOC110439579"	1	0	0	0	2	2.04	1	3	0	0	0	0
"LL0000017760"	"LOC110439580"	0	0	0	0	0	0	0	0	0	1	0	0
"LL0000017761"	"LOC110439581"	10.39	13.08	6.8	3.43	17.98	32.08	11.36	10.43	1.02	17	10.81	0
"LL0000017762"	"LOC110439582"	12.38	16.5	19.79	23.09	13.93	48.11	10.47	5.9	5.34	33.97	19.64	28.63
"LL0000017763"	"LOC110439583"	0	5.47	0	0	0	7.08	0	2.1	20.56	0	5.93	2.92
"LL0000017764"	"LOC110439585"	0	2.25	0	0	1	0	0	0	0	0	1.63	0
"LL0000017765"	"LOC110439586"	38.01	28.24	19	0	27.75	11.31	31.25	46.99	19.72	33.06	2.51	2.04
"LL0000017766"	"LOC110439587"	11.26	21.55	0	30.48	8.33	37.47	14.65	17.54	17.73	46.46	37.97	16.96
"LL0000017767"	"LOC110439588"	29.59	15.21	6.98	8.38	12.18	24.59	15.62	11.66	9.83	33.02	17.41	29.45
"LL0000017768"	"LOC110439590"	85.63	94.49	80.22	6.62	60.81	101.55	80.37	72.03	114.48	154.62	84.32	88.31
"LL0000017769"	"LOC110439591"	0	0	0	0	0	0	0.34	0.49	7	8.48	2.01	6.88
"LL0000017770"	"LOC110439592"	0	0.98	3.22	0	1.6	2.94	0	0	0	2.63	0.41	0
"LL0000017771"	"LOC110439593"	4.04	11.4	13.33	13.27	5.09	10.1	4	13.28	20.46	17.67	5.29	12.19
"LL0000017772"	"LOC110439594"	0	2.96	2.44	3.69	4.88	6.58	3.17	6.9	0.38	0	1.18	3
"LL0000017773"	"LOC110439595"	12.67	3.24	8.59	7.1	3.61	7.23	10.93	10.73	8.68	4.16	3.42	7.69
"LL0000017774"	"LOC110439597"	3.04	0	0	0	0	0	1.84	0.78	1.74	0	0	0
"LL0000017775"	"LOC110439599"	2	0	1	0	1	0	0	0	0	4	0	0
"LL0000017776"	"LOC110439601"	0	6.47	5.44	2	0	0	5.49	0	0	2.5	0	0
"LL0000017777"	"LOC110439602"	0	3	1	0	1	0	0	0	2	2	0	0
"LL0000017778"	"LOC110439603"	0	0	0	0	0	0	1	0	0	0	0	0
"LL0000017779"	"LOC110439605"	0	1.29	0	0	0	0	3.22	0	3	0	0	0
"LL0000017780"	"LOC110439606"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017781"	"LOC110439607"	0	1.12	4.61	0	0	0	2	0	0	0	2.13	2.36
"LL0000017782"	"LOC110439608"	7.64	9.14	6.46	3.73	1.84	0	0	16.6	8.4	0	5.39	15.43
"LL0000017783"	"LOC110439609"	0	0	0	0	0	0	0	0	0	0	1.57	0
"LL0000017784"	"LOC110439611"	2.25	0	4.75	1	1.62	5.3	0	2.72	0	3.13	1.1	0
"LL0000017785"	"LOC110439612"	109.63	56.18	57.61	77.98	76.78	129.01	46.13	77.11	63.79	48.46	70.99	87.01
"LL0000017786"	"LOC110439614"	6.73	0	4.82	13.66	20.85	98.71	33.21	18.81	10.22	1.94	28.45	25.41
"LL0000017787"	"LOC110439615"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017788"	"LOC110439617"	11.8	11.11	4.78	2.96	7.78	11.99	1.9	17.25	6.99	6.02	6.03	5.94
"LL0000017789"	"LOC110439618"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017790"	"LOC110439619"	14	13	9	6	38	52	19	9	9	48	16	21
"LL0000017791"	"LOC110439620"	1	0	3	0	2	0	0	0	0	1	1	0
"LL0000017792"	"LOC110439623"	18.55	23.88	27.78	8.09	12.2	19.54	24.38	10.48	14.94	19.72	12.17	13.96
"LL0000017793"	"LOC110439624"	0.32	0	0	0	0.65	0	0	0	0	0	0	0
"LL0000017794"	"LOC110439626"	1507.41	25675.53	1621.11	4047.07	1195.49	14577.88	19840.45	4296.24	18396.72	3794.96	6906.81	3094.03
"LL0000017795"	"LOC110439627"	2130.55	2889.51	2695.58	2966.69	2358.83	4617.54	1967.6	2904.84	1311.99	3473.18	6298.98	4500.19
"LL0000017796"	"LOC110439628"	0	0	0	2.72	0	8.78	0	15.45	2.27	8.97	0.1	0
"LL0000017797"	"LOC110439629"	0	0	0	0	0.62	3.73	0	0.58	0	0	0	0
"LL0000017798"	"LOC110439630"	0.54	0	3.94	0.91	0	6.73	5.89	0	0	9.48	6.29	0
"LL0000017799"	"LOC110439631"	44.02	33.31	63.38	28.64	52.87	46.47	30.83	0	42.37	91.71	36.54	48.96
"LL0000017800"	"LOC110439632"	0	0	0	0	1.3	0	0	0	0	2.59	0	0
"LL0000017801"	"LOC110439634"	2.41	3.47	1.39	0	2.98	16.24	2.62	0	8.57	14.46	2.4	4.14
"LL0000017802"	"LOC110439635"	0	0	0	0	5.82	0	2.69	0	0	2.6	2.37	0
"LL0000017803"	"LOC110439636"	0	4.8	3.83	1.36	1.85	3.17	0	4.81	1.43	7.28	0	6.72
"LL0000017804"	"LOC110439637"	4.98	5.47	6.29	5.41	10.44	11.66	12.33	10.92	4.72	19.36	4.14	6.15
"LL0000017805"	"LOC110439639"	0	0	0	111.7	0	0	0	0	0	21.75	2.01	0
"LL0000017806"	"LOC110439689"	0	1.03	4.12	0	3.19	3.97	0	0	0	1.1	1	1
"LL0000017807"	"LOC110439690"	0	0	0.94	4.08	0	3.22	1.45	0	1.15	0	4.84	5.79
"LL0000017808"	"LOC110439700"	5.31	0	0	20.54	17.97	8.4	9.33	2.3	0	3.98	0.27	0
"LL0000017809"	"LOC110439701"	3.88	0	0	1	0	1	2	0	1	8.33	0	5
"LL0000017810"	"LOC110439708"	0	0	1	0	0	0	0	0	0	1	0	0
"LL0000017811"	"LOC110439710"	0	0	0	0	1	0	0	0	0	0	0	0
"LL0000017812"	"LOC110439712"	1	1	0	0	0	0	0	0	3	0	0	0
"LL0000017813"	"LOC110439713"	1	2	1	1	0	0	1	3	1	1	0	0
"LL0000017814"	"LOC110439714"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017815"	"LOC110439716"	1.66	0	2.36	0	0	0	1	1.6	0	0	0	0
"LL0000017816"	"LOC110439728"	0	0	0	0	0	0	0	0	0	0	1	0
"LL0000017817"	"LOC110439743"	3.6	7.56	3.58	3.37	16.37	16.82	3.53	11.35	9.22	4.6	9.12	12.69
"LL0000017818"	"LOC110439758"	2.02	0	0	0	3.71	5.46	0	0	2.05	6.22	0	2.35
"LL0000017819"	"LOC110439775"	9.01	2.1	5.37	11.62	8.73	20.31	7.24	0	3.88	23.01	8.68	8.25
"LL0000017820"	"LOC110439781"	5	11	6	0	0	0	0	6.97	5	0	6	0
"LL0000017821"	"LOC110439784"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017822"	"LOC110439785"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017823"	"LOC110439786"	50	59.02	83.78	30	24.29	39.92	38	32	57	43	44	19
"LL0000017824"	"LOC110439787"	0	0	0	0	0	0	0	0	1	1	0	0
"LL0000017825"	"LOC110439788"	15.44	0	0	0	34.6	17.97	14.08	14.5	13.88	23.56	13.35	0
"LL0000017826"	"LOC110439789"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017827"	"LOC110439790"	5.41	0	0	0	0	0	0	2.89	0	2.79	2.29	0
"LL0000017828"	"LOC110439791"	0	0	0	0.14	0	0	0	0	0.06	0.67	0	0
"LL0000017829"	"LOC110439792"	0	0	0	1	1	2	0	1	0	1	6.05	1
"LL0000017830"	"LOC110439793"	1	0	0	0	1	1	0	0	0	0	2	2
"LL0000017831"	"LOC110439794"	0	0	0	1	3	1	1	1	0	0	0	0
"LL0000017833"	"LOC110439796"	0	0.69	0	0	0	0	0	0	0	0	0	0
"LL0000017834"	"LOC110439797"	1	0	1	1	2	4	0	1	1	0	3	4
"LL0000017835"	"LOC110439800"	39.09	26.17	52.46	0	3	1.99	35	27	35	5	2	1
"LL0000017836"	"LOC110439803"	13.19	6.22	9.59	0	4.74	0	12.22	39.28	0	0.08	2.99	3
"LL0000017837"	"LOC110439804"	0	0	1	0	0	0	0	2	0	0	0	0
"LL0000017838"	"LOC110439805"	3.91	25.18	5.79	4.98	18.23	15.23	0	0	0.12	2.17	13.83	2.57
"LL0000017839"	"LOC110439806"	37.64	31.12	15.19	21.42	31.44	65.3	19.33	19.97	22.8	35.26	35.25	38.41
"LL0000017840"	"LOC110439807"	1	0	2	1	1	1.03	0	0	0	1	2	4
"LL0000017841"	"LOC110439808"	1	0	0	0	0	2	0	0	0	0	0	0
"LL0000017842"	"LOC110439810"	6.69	9.51	8.63	7.53	16.48	40.98	14.6	19.3	15.17	6.87	7.88	19.25
"LL0000017843"	"LOC110439812"	7	8.35	4	2	5	8	2	4	2	4	3	1
"LL0000017844"	"LOC110439813"	33.26	75.45	54.86	40.63	66.6	89.38	34.14	54.82	45.14	47.99	31.13	39.61
"LL0000017845"	"LOC110439816"	0	1	0	0	0	0	0	0	0	0	0	0
"LL0000017846"	"LOC110439817"	57.7	60.52	37.87	12.44	69.23	84.7	12.27	27.49	28.69	42.54	18.99	31.67
"LL0000017847"	"LOC110439819"	2.65	9.76	2.82	6.83	2.69	5.57	9.77	1.52	4.2	12.36	6.53	4.94
"LL0000017848"	"LOC110439820"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017849"	"LOC110439821"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017850"	"LOC110439822"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017851"	"LOC110439823"	0	0.49	0	0	0	0	0	0	0	0	0	0
"LL0000017852"	"LOC110439824"	2.26	2.29	5.03	10.88	7.86	18.92	8.06	9.25	7.38	25.01	22.99	20.47
"LL0000017853"	"LOC110439825"	0.65	0	4.77	1.03	1.57	5.27	4.87	0	0	0	2.91	0
"LL0000017854"	"LOC110439826"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017855"	"LOC110439827"	5.01	6	5	0	2	2	2	13	4	2	3.02	5
"LL0000017856"	"LOC110439828"	1	3	2.88	2	3	3.42	2	2	0	2	1	3.02
"LL0000017857"	"LOC110439829"	0	0	0	1	1	2	0	0	0	0	0	1
"LL0000017858"	"LOC110439831"	0.98	0	0	0	0	1	0	0	0	1	0	0
"LL0000017859"	"LOC110439832"	0	0	0	0	0	0	2.34	0	0	0	0	0
"LL0000017860"	"LOC110439834"	44.08	38	62.9	8	11.11	21	42.09	44.28	20.98	59.05	7	20
"LL0000017861"	"LOC110439835"	1	0	1	0	2	1	0	1	0	0	0	0
"LL0000017862"	"LOC110439838"	4.69	0	2.37	3.89	0	7.39	1	0	3.46	5.05	7.3	5.22
"LL0000017863"	"LOC110439840"	150.44	157	195.97	121	152.95	198.89	148.95	190	193.36	237.31	178.54	131.99
"LL0000017864"	"LOC110439843"	0	0	1	1	2	0	0	1	0	3	2	0
"LL0000017865"	"LOC110439844"	7	1	17.97	12	24.65	20	7	9	6	34	11	23
"LL0000017866"	"LOC110439846"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017867"	"LOC110439847"	0	0	0	0	0	0	2.11	0	0	1.11	0	0
"LL0000017868"	"LOC110439848"	0	0	1	0	0	2.05	0	0	0	0	0	2
"LL0000017870"	"LOC110439850"	0	0	0	0	0	0	0	0	1	0	0	0
"LL0000017871"	"LOC110439851"	0	0	0	0	0	0	0	1	0	0	0	0
"LL0000017872"	"LOC110439852"	0	0	0	1	0	0	0	0	0	1	0	0
"LL0000017873"	"LOC110439854"	2.61	2	4	0	4	11.65	7	2	0	9.51	4.6	3
"LL0000017874"	"LOC110439855"	73.11	75.67	70.22	7	11	12	64	56	59	22	10	16
"LL0000017875"	"LOC110439858"	2	1	2	0	2.11	1	1	0	0	1.01	3.32	1.01
"LL0000017877"	"LOC110439864"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017878"	"LOC110439865"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000017879"	"LOC110439866"	0	0	0	0	0	0	0	0	0	0	0	0
